Date,Description,Statement Description,Category,Debit,Credit,Balance
4/11/2022,Cole Hardware St,POS PURCHASE #XXXX POS PURCHASE TERMINAL XXXX COLE HARDWARE-9TH ST    SAN FRANC CA XXXX,Purchase,-6.83,,9005.64
4/18/2022,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-77.6,,8928.04
4/22/2022,Check #XXXX,CHECK# XXXX CHECK,Filing Fee,-25,,8903.04
4/25/2022,Google Cloud,POS PURCHASE #XXXX GOOGLE*CLOUD XXXX XXXX     SUPPORT.G CA,Web Infrastructure,-31.1,,8871.94
4/25/2022,Check #XXXX,CHECK# XXXX CHECK,Filing Fee,-25,,8846.94
4/4/2022,Check #XXXX,CHECK# XXXX CHECK,Rent,-2500,,8358.11
4/6/2022,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,654.36,9012.47
5/19/2022,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-94.56,,6841.75
5/2/2022,Google Cloud,POS PURCHASE #XXXX GOOGLE*CLOUD XXXX XXXX     SUPPORT.G CA,Web Infrastructure,-4.94,,8767
5/2/2022,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,8771.94
5/23/2022,Check #XXXX,CHECK# XXXX CHECK,Filing Fee,-25,,6816.75
5/3/2022,Check #XXXX,CHECK# XXXX CHECK,Rent,-2500,,6267
5/6/2022,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,669.31,6936.31
6/1/2022,Google Cloud,POS PURCHASE #XXXX GOOGLE *CLOUD XXXX XXXX    XXXX@GOOGLE CA,Web Infrastructure,-32.09,,9709.66
6/1/2022,Mobile Deposit,MOBILE DEPOSIT,Income,,3000,9816.75
6/1/2022,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,9741.75
6/17/2022,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-116.06,,7799.61
6/2/2022,Check #XXXX,CHECK# XXXX CHECK,Rent,-2500,,7209.66
6/6/2022,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,706.01,7915.67
7/1/2022,Google Cloud,POS PURCHASE #XXXX GOOGLE*CLOUD XXXX XXXX     SUPPORT.G CA,Web Infrastructure,-31.09,,7693.52
7/1/2022,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,7724.61
7/19/2022,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-121.44,,5778.07
7/26/2022,Prenotification Paypal Prenote Queerious Labs Paypalprnt,PRENOTIFICATION CR PAYPAL PRENOTE QUEERIOUS LABS XXXX PAYPALPRNT,Miscellaneous,,0,5778.07
7/5/2022,Check #XXXX,CHECK# XXXX CHECK,Rent,-2500,,5193.52
7/6/2022,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,705.99,5899.51
8/1/2022,Google Cloud,POS PURCHASE #XXXX GOOGLE *CLOUD XXXX XXXX    XXXX@GOOGLE CA,Web Infrastructure,-32.1,,7670.97
8/1/2022,Mobile Deposit,MOBILE DEPOSIT,Income,,2000,7778.07
8/1/2022,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,7703.07
8/18/2022,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-129.9,,5745.32
8/27/2022,Amazon,POS PURCHASE #XXXX AMAZON.COM*XXXX XXXX XXXX AMZN.COM/ WA,Purchase,-315,,5430.32
8/8/2022,Check #XXXX,CHECK# XXXX CHECK,Rent,-2500,,5875.22
8/8/2022,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,704.25,8375.22
9/1/2022,Google Cloud,POS PURCHASE #XXXX GOOGLE*CLOUD XXXX XXXX     SUPPORT.G CA,Web Infrastructure,-32.09,,5323.23
9/1/2022,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,5355.32
9/12/2022,Amazon,POS PURCHASE #XXXX AMAZON.COM*XXXX XXXX XXXX AMZN.COM/ WA,Purchase,-461.66,,2963.63
9/12/2022,Amazon,POS PURCHASE #XXXX AMAZON.COM*XXXX XXXX XXXX AMZN.COM/ WA,Purchase,-57.99,,3425.29
9/19/2022,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-150.5,,2813.13
9/20/2022,Mobile Deposit,MOBILE DEPOSIT,Income,,2500,5313.13
9/6/2022,Check #XXXX,CHECK# XXXX CHECK,Rent,-2500,,3483.28
9/6/2022,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,660.05,5983.28
